Данные графика P
Наименование: ;Контроллер КСОД (A1).Modbus 1.OMIX P99 ML3.OMIX P99 MLA.Параметры.Ps
Ед. измерения: ;Вт
Время регистрации;Значение
02.11.19 16:17:55;0
02.11.19 16:18:10;0
02.11.19 16:18:46;0
02.11.19 16:19:21;0
02.11.19 16:19:57;0
02.11.19 16:20:33;0
02.11.19 16:21:08;0
02.11.19 16:21:44;0
02.11.19 16:22:19;0
02.11.19 16:22:55;0
02.11.19 16:23:11;0
02.11.19 16:23:46;0
02.11.19 16:24:22;0
02.11.19 16:24:58;0
02.11.19 16:25:33;0
02.11.19 16:26:09;0

Данные графика ДД4
Наименование: ;Давление в баке
Ед. измерения: ;bar
Время регистрации;Значение
02.11.19 16:00:25;Ошибка 52011
02.11.19 16:00:55;0
02.11.19 16:01:31;0
02.11.19 16:02:07;0
02.11.19 16:02:42;0
02.11.19 16:03:09;0
02.11.19 16:03:45;0
02.11.19 16:04:20;0
02.11.19 16:04:56;0
02.11.19 16:05:31;0
02.11.19 16:06:07;0
02.11.19 16:06:43;0
02.11.19 16:07:18;0
02.11.19 16:07:54;0
02.11.19 16:08:10;0
02.11.19 16:08:45;0
02.11.19 16:09:21;0
02.11.19 16:09:53;Ошибка 43
02.11.19 16:10:29;Ошибка 43
02.11.19 16:11:04;Ошибка 43
02.11.19 16:12:13;Ошибка 52011
02.11.19 16:12:43;0
02.11.19 16:13:10;0
02.11.19 16:13:46;0
02.11.19 16:14:22;0
02.11.19 16:14:57;0
02.11.19 16:15:33;0
02.11.19 16:16:09;0
02.11.19 16:16:44;0
02.11.19 16:17:20;0
02.11.19 16:17:55;0
02.11.19 16:18:10;0
02.11.19 16:18:46;0
02.11.19 16:19:21;0
02.11.19 16:19:57;0
02.11.19 16:20:33;0
02.11.19 16:21:08;0
02.11.19 16:21:44;0
02.11.19 16:22:19;0
02.11.19 16:22:55;0
02.11.19 16:23:11;0
02.11.19 16:23:46;0
02.11.19 16:24:22;0
02.11.19 16:24:58;0
02.11.19 16:25:33;0
02.11.19 16:26:09;0

Данные графика ДД5
Наименование: ;Давление на выходе насоса (160бар)
Ед. измерения: ;bar
Время регистрации;Значение
02.11.19 16:00:25;Ошибка 52011
02.11.19 16:00:55;0
02.11.19 16:01:31;0
02.11.19 16:02:07;0
02.11.19 16:02:42;0
02.11.19 16:03:09;0
02.11.19 16:03:45;0
02.11.19 16:04:20;0
02.11.19 16:04:56;0
02.11.19 16:05:31;0
02.11.19 16:06:07;0
02.11.19 16:06:43;0
02.11.19 16:07:18;0
02.11.19 16:07:54;0
02.11.19 16:08:10;0
02.11.19 16:08:45;0
02.11.19 16:09:21;0
02.11.19 16:09:53;Ошибка 43
02.11.19 16:10:29;Ошибка 43
02.11.19 16:11:04;Ошибка 43
02.11.19 16:12:13;Ошибка 52011
02.11.19 16:12:43;0
02.11.19 16:13:10;0
02.11.19 16:13:46;0
02.11.19 16:14:22;0
02.11.19 16:14:57;0
02.11.19 16:15:33;0
02.11.19 16:16:09;0
02.11.19 16:16:44;0
02.11.19 16:17:20;0
02.11.19 16:17:55;0
02.11.19 16:18:10;0
02.11.19 16:18:46;0
02.11.19 16:19:21;0
02.11.19 16:19:57;0
02.11.19 16:20:33;0
02.11.19 16:21:08;0
02.11.19 16:21:44;0
02.11.19 16:22:19;0
02.11.19 16:22:55;0
02.11.19 16:23:11;0
02.11.19 16:23:46;0
02.11.19 16:24:22;0
02.11.19 16:24:58;0
02.11.19 16:25:33;0
02.11.19 16:26:09;0

